iso,unix,eui,x,y,z,dx,dy,dz,ecef_x,ecef_y,ecef_z,wgs84_lat,wgs84_lon,wgs84_alt,wgs84_heading,wgs84_speed
2016-08-18_18-42-07,1471545727.044758,deca010000000008,0.383,-2.327,0.195,-0.310,-0.325,-0.211,51.491450429777,7.412216496381,0.195,258.891,0.058
2016-08-18_18-42-07,1471545727.093871,deca010000000008,0.374,-2.350,0.089,-0.308,-0.343,-0.360,51.491450308972,7.412216194062,0.089,257.040,0.023
2016-08-18_18-42-07,1471545727.143499,deca010000000007,0.129,-0.064,0.139,-0.065,-0.015,0.112,51.491468367113,7.412232289767,0.139,292.133,0.007
2016-08-18_18-42-07,1471545727.202755,deca010000000008,0.329,-2.366,0.040,-0.352,-0.334,-0.410,51.491450425700,7.412215532603,0.040,261.634,0.053
2016-08-18_18-42-07,1471545727.246476,deca010000000007,0.128,-0.069,0.146,-0.062,-0.022,0.115,51.491468337615,7.412232228359,0.146,285.410,0.007
2016-08-18_18-42-07,1471545727.316027,deca010000000007,0.131,-0.081,0.183,-0.051,-0.037,0.160,51.491468240807,7.412232169582,0.183,269.228,0.004
2016-08-18_18-42-07,1471545727.328894,deca010000000008,0.320,-2.375,0.005,-0.359,-0.341,-0.454,51.491450408964,7.412215366833,0.005,261.641,0.063
2016-08-18_18-42-07,1471545727.396760,deca010000000007,0.122,-0.092,0.141,-0.059,-0.051,0.081,51.491468202312,7.412231967369,0.141,264.542,0.006
2016-08-18_18-42-07,1471545727.425921,deca010000000008,0.301,-2.383,-0.018,-0.373,-0.339,-0.471,51.491450444176,7.412215070846,-0.018,262.922,0.049
2016-08-18_18-42-07,1471545727.470119,deca010000000007,0.123,-0.093,0.167,-0.054,-0.048,0.114,51.491468194023,7.412231972613,0.167,263.659,0.005
2016-08-18_18-42-07,1471545727.522950,deca010000000008,0.275,-2.392,-0.038,-0.383,-0.325,-0.466,51.491450515905,7.412214686037,-0.038,264.890,0.049
2016-08-18_18-42-07,1471545727.607428,deca010000000007,0.125,-0.098,0.184,-0.046,-0.050,0.123,51.491468142151,7.412231950238,0.184,257.669,0.009
2016-08-18_18-42-07,1471545727.620177,deca010000000008,0.286,-2.398,-0.090,-0.362,-0.331,-0.526,51.491450414189,7.412214770668,-0.090,262.730,0.048
2016-08-18_18-42-07,1471545727.733005,deca010000000007,0.132,-0.092,0.180,-0.031,-0.036,0.100,51.491468155605,7.412232089261,0.180,256.483,0.006
2016-08-18_18-42-07,1471545727.737329,deca010000000008,0.283,-2.397,-0.113,-0.365,-0.328,-0.554,51.491450437194,7.412214745132,-0.113,263.221,0.058
2016-08-18_18-42-07,1471545727.802041,deca010000000008,0.256,-2.411,-0.157,-0.371,-0.319,-0.565,51.491450474548,7.412214303340,-0.157,264.535,0.032
2016-08-18_18-42-07,1471545727.850925,deca010000000007,0.131,-0.078,0.184,-0.030,-0.019,0.099,51.491468256168,7.412232190965,0.184,273.748,0.004
2016-08-18_18-42-07,1471545727.903717,deca010000000008,0.237,-2.418,-0.181,-0.371,-0.305,-0.557,51.491450524520,7.412214027046,-0.181,265.744,0.049
2016-08-18_18-42-07,1471545727.944177,deca010000000007,0.129,-0.078,0.169,-0.030,-0.018,0.077,51.491468265186,7.412232171257,0.169,274.841,0.003
2016-08-18_18-42-08,1471545728.052042,deca010000000008,0.194,-2.437,-0.237,-0.374,-0.288,-0.551,51.491450601476,7.412213368318,-0.237,267.605,0.070
2016-08-18_18-42-08,1471545728.068445,deca010000000007,0.132,-0.073,0.159,-0.027,-0.012,0.065,51.491468289810,7.412232241676,0.159,281.210,0.004
